survived,pclass,age,sibsp,parch,fare,adult_male,embark_town,alive,FamilySize,sex_male,embarked_q,embarked_s,class_Second,class_Third,who_man,who_woman,alone_True,FamilyCategory_Small,FamilyCategory_Large,AgeGroup_Teen,AgeGroup_Young Adult,AgeGroup_Adult,AgeGroup_Senior
0,3,-0.6237472809699052,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.8418105654323949,1.4862964043318654,-0.5007544611783037,-0.3759300863410671,False,Southampton,no,0.6901393658830515,0,0,1,0,1,0,1,0,1,0,1,0,0,0
1,3,-1.1325616113823809,0.47587560314134286,-0.5007544611783037,-0.6715902545812694,False,Cherbourg,yes,0.0330656452941511,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,3,0.757320187292529,0.47587560314134286,-0.5007544611783037,-0.7488793390004231,False,Southampton,no,0.0330656452941511,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,2,-0.18762071204492597,0.47587560314134286,-0.5007544611783037,-0.24468694757531137,False,Southampton,no,0.0330656452941511,0,0,1,1,0,0,1,0,1,0,0,1,0,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8179657272467168,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,1,1,0,1,0,0,0,1,0,0
1,2,-1.9321269877448428,0.47587560314134286,1.8801333143627108,0.6556059861874355,False,Cherbourg,yes,1.3472130864719518,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3,-0.7691228039448983,-0.5345451980491797,-0.5007544611783037,-0.8186919392812206,False,Queenstown,yes,-0.6240080752947493,0,1,0,0,1,0,1,1,0,0,0,1,0,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.11493295055742946,0.47587560314134286,-0.5007544611783037,-0.48529936864586354,True,Queenstown,no,0.0330656452941511,1,1,0,0,1,1,0,0,1,0,0,1,0,0
0,3,-0.11493295055742946,1.4862964043318654,-0.5007544611783037,-0.2149735009587442,True,Cherbourg,no,0.6901393658830515,1,0,0,0,1,1,0,0,1,0,0,1,0,0
0,3,-0.8418105654323949,0.47587560314134286,-0.5007544611783037,-0.38467962892545077,False,Southampton,no,0.0330656452941511,0,0,1,0,1,0,1,0,1,0,1,0,0,0
0,3,-1.6413759417948568,3.50713800671291,0.6896894265922036,0.5728484376530422,False,Southampton,no,2.661360527649753,1,0,1,0,1,0,0,0,0,1,0,0,0,0
0,3,-0.6237472809699052,-0.5345451980491797,-0.5007544611783037,-0.8221567581446366,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,1,1.4115100406799979,0.47587560314134286,-0.5007544611783037,2.0485572268634304,False,Cherbourg,yes,0.0330656452941511,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,2,-0.042245189069932916,0.47587560314134286,-0.5007544611783037,-0.025948382965718463,False,Southampton,yes,0.0330656452941511,0,0,1,1,0,0,1,0,1,0,0,1,0,0
0,1,2.574514224479943,-0.5345451980491797,0.6896894265922036,1.5480593297945746,True,Cherbourg,no,0.0330656452941511,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,2,-0.6237472809699052,-0.5345451980491797,-0.5007544611783037,-0.7040379332554565,False,Southampton,yes,-0.6240080752947493,0,0,1,1,0,0,1,1,0,0,0,1,0,0
0,3,-0.07858906981368119,-0.5345451980491797,-0.5007544611783037,-0.8471279526804678,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,1,1,0,1,0,0,0,1,0,0
1,2,-1.7867514647698497,0.47587560314134286,1.8801333143627108,0.05061011464763905,False,Southampton,yes,1.3472130864719518,0,0,1,1,0,0,0,0,1,0,0,0,0,0
0,3,-1.3506248958448706,4.517558807903433,1.8801333143627108,0.8883788171023798,False,Southampton,no,3.9755079688275536,1,0,1,0,1,0,0,0,0,1,0,0,0,0
0,3,-0.5510595194824087,-0.5345451980491797,-0.5007544611783037,-0.8471279526804678,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,1,1,0,1,0,0,0,1,0,0
1,1,0.6119446643175359,-0.5345451980491797,-0.5007544611783037,2.0485572268634304,False,,yes,-0.6240080752947493,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,1,1.1207589947300116,0.47587560314134286,-0.5007544611783037,2.0485572268634304,True,Southampton,no,0.0330656452941511,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,3,-1.8594392262573463,2.496717205522388,1.8801333143627108,0.057172271585926776,False,Southampton,no,2.661360527649753,1,0,1,0,1,0,0,0,0,1,0,0,0,0
0,1,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,0.049332681430319054,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,3,-0.11493295055742946,0.47587560314134286,0.6896894265922036,-0.4964200372706153,True,Cherbourg,yes,0.6901393658830515,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,2,-0.042245189069932916,-0.5345451980491797,-0.5007544611783037,-0.7040379332554565,False,Southampton,yes,-0.6240080752947493,0,0,1,1,0,0,1,1,0,0,0,1,0,0
0,3,-0.7691228039448983,-0.5345451980491797,-0.5007544611783037,-0.8064819526047132,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,3,-0.9144983269198913,3.50713800671291,1.8801333143627108,-0.8166882940293968,False,Southampton,yes,3.3184342482386535,0,0,1,0,1,0,1,0,0,1,1,0,0,0
0,3,-0.26030847353242254,1.4862964043318654,-0.5007544611783037,-0.784424355749482,True,Southampton,no,0.6901393658830515,1,0,1,0,1,1,0,0,1,0,0,1,0,0
0,2,0.1758180953925567,-0.5345451980491797,-0.5007544611783037,-0.7040379332554565,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,1,0,0
0,3,-0.9871860884073879,4.517558807903433,1.8801333143627108,0.8883788171023798,False,Southampton,no,3.9755079688275536,0,0,1,0,1,0,1,0,0,1,1,0,0,0
0,2,-0.6237472809699052,-0.5345451980491797,-0.5007544611783037,2.0485572268634304,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,1,0,0
0,3,-0.26030847353242254,0.47587560314134286,-0.5007544611783037,-0.531050726819606,True,Cherbourg,no,0.0330656452941511,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,3,0.1758180953925567,-0.5345451980491797,-0.5007544611783037,1.3081731207585263,True,Southampton,yes,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.33299623501991904,-0.5345451980491797,-0.5007544611783037,-0.8287189150829243,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,2,-2.0898594301727105,-0.5345451980491797,1.8801333143627108,0.10529475580003728,False,Southampton,yes,0.6901393658830515,1,0,1,1,0,0,0,0,1,0,0,0,0,0
1,3,0.03044257241756362,-0.5345451980491797,-0.5007544611783037,-0.6176362002346673,False,Southampton,yes,-0.6240080752947493,0,0,1,0,1,0,1,1,0,0,0,1,0,0
0,3,-0.5510595194824087,-0.5345451980491797,-0.5007544611783037,-0.7696595026383344,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,3,-0.042245189069932916,-0.5345451980491797,-0.5007544611783037,-0.7477856461773751,True,Southampton,yes,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8227036045561608,False,Queenstown,yes,-0.6240080752947493,0,1,0,0,1,0,1,1,0,0,0,1,0,0
0,1,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,0.8971283596867636,True,Southampton,no,-0.6240080752947493,1,0,1,0,0,1,0,1,0,0,0,1,0,0
1,2,-0.9144983269198913,-0.5345451980491797,-0.5007544611783037,-0.7040379332554565,False,Southampton,yes,-0.6240080752947493,0,0,1,1,0,0,1,1,0,0,1,0,0,0
1,3,0.24850585688005322,2.496717205522388,-0.5007544611783037,-0.46998766912319206,False,Southampton,yes,1.3472130864719518,0,0,1,0,1,0,1,0,1,0,0,1,0,0
0,3,-0.9871860884073879,0.47587560314134286,3.070577202133218,0.34043871275534965,True,Southampton,no,2.0042868070608524,1,0,1,0,1,1,0,0,0,1,1,0,0,0
1,1,-0.47837175799491216,2.496717205522388,1.8801333143627108,2.0485572268634304,False,Southampton,yes,2.661360527649753,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0,3,-0.4056839965074156,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.042245189069932916,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.6964350424574017,-0.5345451980491797,-0.5007544611783037,-0.8197856321042687,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,1,1.1934467562175082,0.47587560314134286,-0.5007544611783037,1.5128774190627674,True,Southampton,no,0.0330656452941511,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,3,-0.26030847353242254,0.47587560314134286,1.8801333143627108,-0.2632797255671268,True,Southampton,no,1.3472130864719518,1,0,1,0,1,1,0,0,1,0,0,1,0,0
0,3,2.138387655554963,-0.5345451980491797,-0.5007544611783037,-0.8462180002516918,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,0,1,0
0,1,3.0106407934049217,-0.5345451980491797,-0.5007544611783037,0.35265307420314945,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,-0.47837175799491216,-0.5345451980491797,0.6896894265922036,1.6083918006851923,True,Cherbourg,yes,0.0330656452941511,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,2,0.3211936183675498,-0.5345451980491797,0.6896894265922036,-0.15719152173147422,False,Southampton,yes,0.0330656452941511,0,0,1,1,0,0,1,0,1,0,0,1,0,0
0,2,0.3211936183675498,0.47587560314134286,-0.5007544611783037,-0.025948382965718463,True,Southampton,no,0.0330656452941511,1,0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8179657272467168,False,Southampton,no,-0.6240080752947493,0,0,1,0,1,0,1,1,0,0,0,1,0,0
0,1,-0.6237472809699052,-0.5345451980491797,0.6896894265922036,2.0485572268634304,True,Southampton,no,0.0330656452941511,1,0,1,0,0,1,0,0,1,0,0,1,0,0
0,3,0.24850585688005322,-0.5345451980491797,-0.5007544611783037,-0.7847874617667338,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,0.5392569028300394,1.4862964043318654,-0.5007544611783037,-0.8166882940293968,True,Southampton,no,0.6901393658830515,1,0,1,0,1,1,0,0,1,0,0,0,1,0
1,3,-0.6237472809699052,-0.5345451980491797,-0.5007544611783037,-0.8287189150829243,False,Southampton,yes,-0.6240080752947493,0,0,1,0,1,0,1,1,0,0,0,1,0,0
1,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8232504509676845,True,Southampton,yes,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,0.6119446643175359,-0.5345451980491797,-0.5007544611783037,-0.8179657272467168,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,0,1,0
1,3,-0.11493295055742946,0.47587560314134286,-0.5007544611783037,-0.1068816518712679,False,Queenstown,yes,0.0330656452941511,0,1,0,0,1,0,1,0,1,0,0,1,0,0
0,1,1.2661345177050047,-0.5345451980491797,-0.5007544611783037,1.1114921530041646,True,Southampton,no,-0.6240080752947493,1,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,-1.0962177306386327,0.47587560314134286,-0.5007544611783037,-0.531050726819606,False,Cherbourg,no,0.0330656452941511,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,3,-0.5510595194824087,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.6964350424574017,0.47587560314134286,-0.5007544611783037,-0.7335676394777515,False,Southampton,no,0.0330656452941511,0,0,1,0,1,0,1,0,1,0,0,1,0,0
0,3,-0.9144983269198913,-0.5345451980491797,-0.5007544611783037,-0.5308713611966261,False,Cherbourg,no,-0.6240080752947493,0,0,0,0,1,0,1,1,0,0,1,0,0,0
0,3,-0.6237472809699052,-0.5345451980491797,-0.5007544611783037,-0.8166882940293968,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,2.9742969126611736,-0.5345451980491797,-0.5007544611783037,-0.8243441437907325,True,Queenstown,no,-0.6240080752947493,1,1,0,0,1,1,0,1,0,0,0,0,0,1
0,2,-0.042245189069932916,0.47587560314134286,-0.5007544611783037,-0.24468694757531137,True,Southampton,no,0.0330656452941511,1,0,1,1,0,1,0,0,1,0,0,1,0,0
0,1,-0.4056839965074156,-0.5345451980491797,0.6896894265922036,2.0485572268634304,True,Cherbourg,no,0.0330656452941511,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,3,-2.0048147492323394,3.50713800671291,1.8801333143627108,0.204820802697402,False,Southampton,no,3.3184342482386535,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,2,-0.6237472809699052,1.4862964043318654,-0.5007544611783037,2.0485572268634304,True,Southampton,no,0.6901393658830515,1,0,1,1,0,1,0,0,1,0,0,1,0,0
0,2,0.21216197613630497,0.47587560314134286,-0.5007544611783037,0.15213980679682762,True,Cherbourg,no,0.0330656452941511,1,0,0,1,0,1,0,0,1,0,0,1,0,0
1,2,0.21216197613630497,-0.5345451980491797,-0.5007544611783037,-0.59466865095066,False,Southampton,yes,-0.6240080752947493,0,0,1,1,0,0,1,1,0,0,0,1,0,0
0,1,1.7749488481174804,-0.5345451980491797,0.6896894265922036,2.0485572268634304,True,Southampton,no,0.0330656452941511,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,3,-1.277937134357374,0.47587560314134286,-0.5007544611783037,-0.6715902545812694,False,Cherbourg,yes,0.0330656452941511,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8243441437907325,True,Queenstown,no,-0.6240080752947493,1,1,0,0,1,1,0,1,0,0,0,1,0,0
1,3,-0.4056839965074156,-0.5345451980491797,-0.5007544611783037,-0.8509558775611357,True,Southampton,yes,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,3,-0.11493295055742946,0.47587560314134286,0.6896894265922036,-0.18526442911346935,False,Cherbourg,yes,0.6901393658830515,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0,3,1.1207589947300116,-0.5345451980491797,-0.5007544611783037,-0.8582486213052195,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,0,1,0
0,3,0.24850585688005322,-0.5345451980491797,-0.5007544611783037,-0.8179657272467168,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.6964350424574017,-0.5345451980491797,-0.5007544611783037,-0.8549675428360756,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,1.2661345177050047,0.47587560314134286,-0.5007544611783037,-0.5290470815677821,False,Southampton,no,0.0330656452941511,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,2,-0.33299623501991904,-0.5345451980491797,-0.5007544611783037,-0.59466865095066,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,1,0,0
0,2,-0.47837175799491216,-0.5345451980491797,-0.5007544611783037,-0.505169579854999,True,Cherbourg,no,-0.6240080752947493,1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,1,-0.7691228039448983,-0.5345451980491797,1.8801333143627108,-0.013554655894938905,False,Southampton,yes,0.6901393658830515,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0.5392569028300394,0.47587560314134286,-0.5007544611783037,1.1596146372182752,True,Southampton,no,0.0330656452941511,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,3,-0.9871860884073879,-0.5345451980491797,-0.5007544611783037,-0.7601793732481547,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,1,0,0,0
0,1,-0.4056839965074156,-0.5345451980491797,-0.5007544611783037,2.0485572268634304,True,Cherbourg,no,-0.6240080752947493,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,3,-0.11493295055742946,-0.5345451980491797,1.8801333143627108,-0.4964200372706153,False,Cherbourg,no,0.6901393658830515,0,0,0,0,1,0,1,0,1,0,0,1,0,0
1,3,-0.5510595194824087,-0.5345451980491797,-0.5007544611783037,-0.8243441437907325,False,Southampton,yes,-0.6240080752947493,0,0,1,0,1,0,1,1,0,0,0,1,0,0
1,3,-0.4056839965074156,0.47587560314134286,-0.5007544611783037,-0.46998766912319206,False,Southampton,yes,0.0330656452941511,0,0,1,0,1,0,1,0,1,0,0,1,0,0
0,3,-0.7691228039448983,-0.5345451980491797,-0.5007544611783037,-0.8680918567126511,True,Queenstown,no,-0.6240080752947493,1,1,0,0,1,1,0,1,0,0,0,1,0,0
0,2,-0.8418105654323949,-0.5345451980491797,-0.5007544611783037,-0.6602902203335379,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,1,0,0,0
0,2,-0.7691228039448983,0.47587560314134286,0.6896894265922036,0.4443395309449063,True,Southampton,no,0.6901393658830515,1,0,1,1,0,1,0,0,1,0,0,1,0,0
1,3,-0.18762071204492597,-0.5345451980491797,-0.5007544611783037,-0.8223404985389087,True,Southampton,yes,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-1.4960004188198637,1.4862964043318654,1.8801333143627108,0.34043871275534965,False,Southampton,no,2.0042868070608524,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,2,0.5029130220862911,-0.5345451980491797,1.8801333143627108,-0.025948382965718463,True,Southampton,no,0.6901393658830515,1,0,1,1,0,1,0,0,1,0,0,0,1,0
0,2,0.902695710267522,-0.5345451980491797,-0.5007544611783037,-0.59466865095066,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,0,1,0
0,2,1.556885563654991,-0.5345451980491797,-0.5007544611783037,-0.6154488145885714,True,Southampton,no,-0.6240080752947493,1,0,1,1,0,1,0,1,0,0,0,0,1,0
1,1,-0.5510595194824087,0.47587560314134286,-0.5007544611783037,1.7502087616641755,False,Southampton,yes,0.0330656452941511,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,3,1.8839804903487254,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,0,1,0
0,3,0.7936640680362772,-0.5345451980491797,1.8801333143627108,-0.5290470815677821,True,Southampton,no,0.6901393658830515,1,0,1,0,1,1,0,0,1,0,0,0,1,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.8434837681940719,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,1,1.556885563654991,-0.5345451980491797,0.6896894265922036,1.521810702041423,True,Cherbourg,no,0.0330656452941511,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,3,-0.9871860884073879,-0.5345451980491797,-0.5007544611783037,-0.8250747305965286,False,Queenstown,yes,-0.6240080752947493,0,1,0,0,1,0,1,1,0,0,1,0,0,0
0,3,0.03044257241756362,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.11493295055742946,-0.5345451980491797,-0.5007544611783037,-0.784424355749482,True,Southampton,no,-0.6240080752947493,1,0,1,0,1,1,0,1,0,0,0,1,0,0
0,3,-0.11493295055742946,7.548821211475,1.8801333143627108,1.8792645147838354,True,Southampton,no,5.946729130594255,1,0,1,0,1,1,0,0,0,1,0,1,0,0
0,3,1.048071233242515,-0.5345451980491797,0.6896894265922036,-0.45905074089271236,True,Southampton,no,0.0330656452941511,1,0,1,0,1,1,0,0,1,0,0,0,1,0
1,2,0.757320187292529,-0.5345451980491797,-0.5007544611783037,-0.4743624404153839,False,Southampton,yes,-0.6240080752947493,0,0,1,1,0,0,1,1,0,0,0,0,1,0
